tourism32,0,{'sql_idx': 'tourism32', 'res': 1, 'info': ''}
tourism33,0,{'sql_idx': 'tourism33', 'res': 1, 'info': ''}
traffic01,0,{'sql_idx': 'traffic01', 'res': 1, 'info': ''}
traffic02,0,{'sql_idx': 'traffic02', 'res': 1, 'info': ''}
traffic03,0,{'sql_idx': 'traffic03', 'res': 1, 'info': ''}
traffic04,0,{'sql_idx': 'traffic04', 'res': 0, 'info': ''}
traffic05,0,{'sql_idx': 'traffic05', 'res': 0, 'info': ''}
traffic06,0,{'sql_idx': 'traffic06', 'res': 0, 'info': ''}
traffic07,0,{'sql_idx': 'traffic07', 'res': 1, 'info': ''}
traffic08,0,{'sql_idx': 'traffic08', 'res': 0, 'info': 'error ambiguous column name: NAME'}
traffic09,0,{'sql_idx': 'traffic09', 'res': 1, 'info': ''}
traffic10,0,{'sql_idx': 'traffic10', 'res': 0, 'info': ''}
traffic11,0,{'sql_idx': 'traffic11', 'res': 0, 'info': ''}
traffic12,0,{'sql_idx': 'traffic12', 'res': 1, 'info': ''}
traffic13,0,{'sql_idx': 'traffic13', 'res': 1, 'info': ''}
traffic14,0,{'sql_idx': 'traffic14', 'res': 1, 'info': ''}
traffic15,0,{'sql_idx': 'traffic15', 'res': 1, 'info': ''}
traffic16,0,{'sql_idx': 'traffic16', 'res': 1, 'info': ''}
traffic17,0,{'sql_idx': 'traffic17', 'res': 1, 'info': ''}
traffic18,0,{'sql_idx': 'traffic18', 'res': 1, 'info': ''}
traffic19,0,{'sql_idx': 'traffic19', 'res': 1, 'info': ''}
traffic20,0,{'sql_idx': 'traffic20', 'res': 0, 'info': ''}
traffic21,0,{'sql_idx': 'traffic21', 'res': 1, 'info': ''}
traffic22,0,{'sql_idx': 'traffic22', 'res': 1, 'info': ''}
traffic23,0,{'sql_idx': 'traffic23', 'res': 1, 'info': ''}
traffic24,14,{'sql_idx': 'traffic24', 'res': 0, 'info': ''}
traffic25,0,{'sql_idx': 'traffic25', 'res': 0, 'info': ''}
traffic26,0,{'sql_idx': 'traffic26', 'res': 1, 'info': ''}
traffic27,0,{'sql_idx': 'traffic27', 'res': 0, 'info': 'error ambiguous column name: Shape'}
traffic28,0,{'sql_idx': 'traffic28', 'res': 0, 'info': ''}
traffic29,0,{'sql_idx': 'traffic29', 'res': 1, 'info': ''}
traffic30,0,{'sql_idx': 'traffic30', 'res': 1, 'info': ''}
traffic31,0,{'sql_idx': 'traffic31', 'res': 0, 'info': ''}
traffic32,0,{'sql_idx': 'traffic32', 'res': 0, 'info': ''}
traffic33,0,{'sql_idx': 'traffic33', 'res': 0, 'info': ''}
traffic34,10,{'sql_idx': 'traffic34', 'res': 1, 'info': ''}
traffic35,0,{'sql_idx': 'traffic35', 'res': 1, 'info': ''}
traffic36,0,{'sql_idx': 'traffic36', 'res': 1, 'info': ''}
traffic37,0,{'sql_idx': 'traffic37', 'res': 1, 'info': ''}
traffic38,0,{'sql_idx': 'traffic38', 'res': 1, 'info': ''}
traffic39,0,{'sql_idx': 'traffic39', 'res': 1, 'info': ''}
traffic40,0,{'sql_idx': 'traffic40', 'res': 1, 'info': ''}
traffic41,0,{'sql_idx': 'traffic41', 'res': 1, 'info': ''}
traffic42,0,{'sql_idx': 'traffic42', 'res': 1, 'info': ''}
traffic43,0,{'sql_idx': 'traffic43', 'res': 1, 'info': ''}
traffic44,0,{'sql_idx': 'traffic44', 'res': 1, 'info': ''}
traffic45,0,{'sql_idx': 'traffic45', 'res': 0, 'info': ''}
traffic46,0,{'sql_idx': 'traffic46', 'res': 1, 'info': ''}
traffic47,0,{'sql_idx': 'traffic47', 'res': 0, 'info': ''}
traffic48,0,{'sql_idx': 'traffic48', 'res': 1, 'info': ''}
traffic49,0,{'sql_idx': 'traffic49', 'res': 1, 'info': ''}
traffic50,0,{'sql_idx': 'traffic50', 'res': 1, 'info': ''}
traffic51,0,{'sql_idx': 'traffic51', 'res': 1, 'info': ''}
traffic52,0,{'sql_idx': 'traffic52', 'res': 0, 'info': ''}
traffic53,0,{'sql_idx': 'traffic53', 'res': 0, 'info': ''}
